,network name,property,Certified,Compute time,method
78,ACASXU_run2a_4_3_batch_2000,2,False,4.564939498901367,DeepPoly + Complete MILP
79,ACASXU_run2a_3_9_batch_2000,4,True,1.4826867580413818,DeepPoly + Complete MILP
80,ACASXU_run2a_3_4_batch_2000,1,False,3.971662759780884,DeepPoly + Complete MILP
81,ACASXU_run2a_5_1_batch_2000,4,True,2.0546610355377197,DeepPoly + Complete MILP
82,ACASXU_run2a_5_1_batch_2000,2,False,4.879453182220459,DeepPoly + Complete MILP
83,ACASXU_run2a_2_8_batch_2000,3,True,0.00883793830871582,DeepPoly + Complete MILP
84,ACASXU_run2a_5_4_batch_2000,1,False,3.8545584678649902,DeepPoly + Complete MILP
85,ACASXU_run2a_3_7_batch_2000,5,False,6.2544450759887695,DeepPoly + Complete MILP
86,ACASXU_run2a_1_8_batch_2000,5,False,5.066809892654419,DeepPoly + Complete MILP
87,ACASXU_run2a_1_1_batch_2000,1,True,9.35502314567566,DeepPoly + Complete MILP
88,ACASXU_run2a_4_6_batch_2000,5,False,6.664780139923096,DeepPoly + Complete MILP
89,ACASXU_run2a_5_3_batch_2000,1,False,3.7491860389709473,DeepPoly + Complete MILP
90,ACASXU_run2a_2_7_batch_2000,2,False,19.50916814804077,DeepPoly + Complete MILP
91,ACASXU_run2a_1_1_batch_2000,5,True,41.34288191795349,DeepPoly + Complete MILP
92,ACASXU_run2a_3_4_batch_2000,3,True,1.1575639247894287,DeepPoly + Complete MILP
93,ACASXU_run2a_2_1_batch_2000,2,False,4.0547194480896,DeepPoly + Complete MILP
94,ACASXU_run2a_5_6_batch_2000,5,False,6.368341684341431,DeepPoly + Complete MILP
95,ACASXU_run2a_2_8_batch_2000,5,False,8.27419900894165,DeepPoly + Complete MILP
96,ACASXU_run2a_1_5_batch_2000,1,True,13.9978928565979,DeepPoly + Complete MILP
97,ACASXU_run2a_3_3_batch_2000,1,False,4.989845514297485,DeepPoly + Complete MILP
98,ACASXU_run2a_5_6_batch_2000,2,False,5.355952978134155,DeepPoly + Complete MILP
99,ACASXU_run2a_5_5_batch_2000,2,False,5.092356443405151,DeepPoly + Complete MILP
100,ACASXU_run2a_2_2_batch_2000,4,True,1.870551586151123,DeepPoly + Complete MILP
101,ACASXU_run2a_1_8_batch_2000,2,True,28.0191752910614,DeepPoly + Complete MILP
102,ACASXU_run2a_2_6_batch_2000,2,False,6.2092204093933105,DeepPoly + Complete MILP
103,ACASXU_run2a_5_5_batch_2000,5,True,8.082479238510132,DeepPoly + Complete MILP
104,ACASXU_run2a_4_6_batch_2000,3,True,1.0451319217681885,DeepPoly + Complete MILP
105,ACASXU_run2a_4_3_batch_2000,3,True,1.3405287265777588,DeepPoly + Complete MILP
106,ACASXU_run2a_3_6_batch_2000,1,False,11.1024808883667,DeepPoly + Complete MILP
107,ACASXU_run2a_3_5_batch_2000,4,True,1.3646337985992432,DeepPoly + Complete MILP
108,ACASXU_run2a_3_8_batch_2000,2,False,14.324575424194336,DeepPoly + Complete MILP
109,ACASXU_run2a_4_1_batch_2000,1,False,11.017595052719116,DeepPoly + Complete MILP
110,ACASXU_run2a_3_5_batch_2000,1,False,5.982122421264648,DeepPoly + Complete MILP
111,ACASXU_run2a_3_2_batch_2000,4,True,1.768500804901123,DeepPoly + Complete MILP
112,ACASXU_run2a_1_9_batch_2000,1,True,1.946824312210083,DeepPoly + Complete MILP
113,ACASXU_run2a_4_4_batch_2000,3,True,0.7733645439147949,DeepPoly + Complete MILP
114,ACASXU_run2a_1_6_batch_2000,5,False,7.177616119384766,DeepPoly + Complete MILP
115,ACASXU_run2a_4_1_batch_2000,3,True,2.1642634868621826,DeepPoly + Complete MILP
116,ACASXU_run2a_5_7_batch_2000,4,True,0.013006448745727539,DeepPoly + Complete MILP
117,ACASXU_run2a_3_7_batch_2000,3,True,0.008359909057617188,DeepPoly + Complete MILP
118,ACASXU_run2a_3_3_batch_2000,3,True,1.346290111541748,DeepPoly + Complete MILP
119,ACASXU_run2a_3_9_batch_2000,3,True,1.346358060836792,DeepPoly + Complete MILP
120,ACASXU_run2a_4_7_batch_2000,1,False,8.09034252166748,DeepPoly + Complete MILP
121,ACASXU_run2a_5_1_batch_2000,5,True,3.763521671295166,DeepPoly + Complete MILP
122,ACASXU_run2a_1_1_batch_2000,2,True,14.168465375900269,DeepPoly + Complete MILP
123,ACASXU_run2a_2_9_batch_2000,5,False,8.67214298248291,DeepPoly + Complete MILP
124,ACASXU_run2a_4_7_batch_2000,3,True,1.15122652053833,DeepPoly + Complete MILP
125,ACASXU_run2a_2_6_batch_2000,1,False,6.320745944976807,DeepPoly + Complete MILP
126,ACASXU_run2a_4_5_batch_2000,3,True,0.010014057159423828,DeepPoly + Complete MILP
127,ACASXU_run2a_3_8_batch_2000,1,INFEASIBLE,12.776440382003784,DeepPoly + Complete MILP
128,ACASXU_run2a_1_9_batch_2000,5,False,6.9744346141815186,DeepPoly + Complete MILP
129,ACASXU_run2a_2_5_batch_2000,5,False,7.681395530700684,DeepPoly + Complete MILP
130,ACASXU_run2a_4_2_batch_2000,4,True,1.2491400241851807,DeepPoly + Complete MILP
131,ACASXU_run2a_2_4_batch_2000,3,True,0.010181427001953125,DeepPoly + Complete MILP
132,ACASXU_run2a_5_7_batch_2000,3,True,0.012051105499267578,DeepPoly + Complete MILP
133,ACASXU_run2a_5_7_batch_2000,1,False,5.875165224075317,DeepPoly + Complete MILP
134,ACASXU_run2a_1_7_batch_2000,1,True,3.0465683937072754,DeepPoly + Complete MILP
135,ACASXU_run2a_1_2_batch_2000,2,False,22.209429264068604,DeepPoly + Complete MILP
136,ACASXU_run2a_5_1_batch_2000,3,True,14.891846179962158,DeepPoly + Complete MILP
137,ACASXU_run2a_2_9_batch_2000,1,False,9.676088333129883,DeepPoly + Complete MILP
138,ACASXU_run2a_2_5_batch_2000,4,True,1.1479952335357666,DeepPoly + Complete MILP
139,ACASXU_run2a_2_3_batch_2000,5,False,5.281540632247925,DeepPoly + Complete MILP
140,ACASXU_run2a_2_2_batch_2000,2,False,6.1090922355651855,DeepPoly + Complete MILP
141,ACASXU_run2a_3_1_batch_2000,3,True,1.143090009689331,DeepPoly + Complete MILP
142,ACASXU_run2a_2_1_batch_2000,1,False,3.6465373039245605,DeepPoly + Complete MILP
143,ACASXU_run2a_1_5_batch_2000,3,True,1.250922441482544,DeepPoly + Complete MILP
144,ACASXU_run2a_5_9_batch_2000,2,False,12.11229419708252,DeepPoly + Complete MILP
145,ACASXU_run2a_5_2_batch_2000,2,False,4.357011079788208,DeepPoly + Complete MILP
146,ACASXU_run2a_4_5_batch_2000,4,True,1.696000337600708,DeepPoly + Complete MILP
147,ACASXU_run2a_1_1_batch_2000,3,TIMEOUT,600.0,DeepPoly + Complete MILP
148,ACASXU_run2a_3_3_batch_2000,2,True,296.66602396965027,DeepPoly + Complete MILP
149,ACASXU_run2a_4_2_batch_2000,2,True,375.74130487442017,DeepPoly + Complete MILP
150,ACASXU_run2a_1_5_batch_2000,5,True,7.058504343032837,DeepPoly + Complete MILP
151,ACASXU_run2a_2_7_batch_2000,5,False,6.593113660812378,DeepPoly + Complete MILP
152,ACASXU_run2a_4_1_batch_2000,2,False,9.88441276550293,DeepPoly + Complete MILP
153,ACASXU_run2a_4_7_batch_2000,5,False,6.568429470062256,DeepPoly + Complete MILP
154,ACASXU_run2a_2_4_batch_2000,5,False,5.4598329067230225,DeepPoly + Complete MILP
155,ACASXU_run2a_3_5_batch_2000,3,True,1.2691316604614258,DeepPoly + Complete MILP
156,ACASXU_run2a_1_4_batch_2000,1,True,13.384146213531494,DeepPoly + Complete MILP
157,ACASXU_run2a_5_7_batch_2000,5,False,6.50095534324646,DeepPoly + Complete MILP
158,ACASXU_run2a_4_2_batch_2000,3,True,8.455515384674072,DeepPoly + Complete MILP
159,ACASXU_run2a_2_3_batch_2000,4,True,2.3021936416625977,DeepPoly + Complete MILP
160,ACASXU_run2a_5_8_batch_2000,5,False,6.287330150604248,DeepPoly + Complete MILP
161,ACASXU_run2a_1_5_batch_2000,2,False,109.09079217910767,DeepPoly + Complete MILP
162,ACASXU_run2a_2_5_batch_2000,1,False,5.376933336257935,DeepPoly + Complete MILP
